approve,id,channel_id,channel_title,title,description,duration_sec,published_at,embeddable,yt_rating,note
○,DZaSr9KVCR8,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代オリエント１ メソポタミア （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,mKsMgbGtToQ,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代オリエント２ エジプト （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,-W_jXJ5T8hE,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代オリエント３ 文化 （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,eJswYizWw8U,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代オリエント５ オリエントの統一 （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,7tK4vuo9avM,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ギリシア世界０ ガイダンス （7分）,,420,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,8Vks-mjABOw,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ギリシア世界１ エーゲ文明 （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,Dn7eRxf0Mr0,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ギリシア世界２ アテネとスパルタ （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,XGEyLWHoHV4,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ギリシア世界６ ギリシア文化② （16分）,,960,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,q-P5HeHb7fI,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ローマ世界１ 共和政の確立 （20分）,,1200,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,90oS782rUTc,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 ローマ世界３ ローマ帝国 （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,WtgixU5o3WI,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代中国（秦・漢）１ 古代文明 （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,lSYfNHMtwL0,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代中国（秦・漢）２ 春秋戦国時代 （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,TWWDdydovSk,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代中国（秦・漢）３ 秦の統一 （17分）,,1020,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,KYas8kZOv3Y,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代中国（秦・漢）４ 前漢の時代 （19分）,,1140,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,thcGz6o0egQ,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 古代中国（秦・漢）５ 後漢の時代 （20分）,,1200,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,_2Yx0ZG9xfU,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 イスラーム世界１ ムハンマド時代 （18分）,,1080,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,ojd2bp42Xmo,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 イスラーム世界２ イスラーム帝国 （20分）,,1200,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,IGiWjrV5qOA,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 中世西欧の成立４ 封建社会の成立 （19分）,,1140,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
○,__8fyVDRwiA,UCcj-cHmS0uD91MLjtdiN89Q,映像授業 Try IT（トライイット）,【世界史】 中世西欧の展開５ 封建社会の崩壊 （19分）,,1140,,true,,所要時間は題名の表記（例「（１８分）」）から。秒単位は未確認
